query,value,id,name,name_ru,country,models,year,business_date
bmw,BMW,BMW,BMW,БМВ,Germany,X5,2020,2026-03-15
bmw,BMW,BMW,BMW,БМВ,Germany,X3,2020,2026-03-15
bmw,BMW,BMW,BMW,БМВ,Germany,3 Series,2020,2026-03-15
audi,Audi,AUDI,Audi,Ауди,Germany,A4,2021,2026-03-15
audi,Audi,AUDI,Audi,Ауди,Germany,A6,2021,2026-03-15
audi,Audi,AUDI,Audi,Ауди,Germany,Q5,2021,2026-03-15
mercedes,Mercedes-Benz,MERCEDES,Mercedes-Benz,Мерседес-Бенц,Germany,C-Class,2023,2026-03-15
mercedes,Mercedes-Benz,MERCEDES,Mercedes-Benz,Мерседес-Бенц,Germany,E-Class,2023,2026-03-15
mercedes,Mercedes-Benz,MERCEDES,Mercedes-Benz,Мерседес-Бенц,Germany,GLE,2023,2026-03-15
nissan,Nissan,NISSAN,Nissan,Ниссан,Japan,X-Trail,2021,2026-03-15
nissan,Nissan,NISSAN,Nissan,Ниссан,Japan,Qashqai,2021,2026-03-15
nissan,Nissan,NISSAN,Nissan,Ниссан,Japan,Altima,2021,2026-03-15
honda,Honda,HONDA,Honda,Хонда,Japan,Accord,2019,2026-03-15
honda,Honda,HONDA,Honda,Хонда,Japan,CR-V,2019,2026-03-15
toyota,Toyota,TOYOTA,Toyota,Тойота,Japan,RAV4,2023,2026-03-15
toyota,Toyota,TOYOTA,Toyota,Тойота,Japan,Corolla,2023,2026-03-15
toyota,Toyota,TOYOTA,Toyota,Тойота,Japan,Camry,2023,2026-03-15
honda,Honda,HONDA,Honda,Хонда,Japan,Civic,2019,2026-03-15
lada,LADA (ВАЗ),VAZ,LADA (ВАЗ),Лада,Russia,Vesta,2022,2026-03-15
lada,LADA (ВАЗ),VAZ,LADA (ВАЗ),Лада,Russia,Granta,2022,2026-03-15
lada,LADA (ВАЗ),VAZ,LADA (ВАЗ),Лада,Russia,Niva,2022,2026-03-15
volvo,Volvo,VOLVO,Volvo,Вольво,Sweden,XC90,2023,2026-03-15
volvo,Volvo,VOLVO,Volvo,Вольво,Sweden,XC60,2023,2026-03-15
volvo,Volvo,VOLVO,Volvo,Вольво,Sweden,S60,2023,2026-03-15
ford,Ford,FORD,Ford,Форд,Usa,Focus,2020,2026-03-15
ford,Ford,FORD,Ford,Форд,Usa,Mustang,2020,2026-03-15
ford,Ford,FORD,Ford,Форд,Usa,Explorer,2020,2026-03-15
chevrolet,Chevrolet,CHEVROLET,Chevrolet,Шевроле,Usa,Malibu,2021,2026-03-15
chevrolet,Chevrolet,CHEVROLET,Chevrolet,Шевроле,Usa,Camaro,2021,2026-03-15
chevrolet,Chevrolet,CHEVROLET,Chevrolet,Шевроле,Usa,Tahoe,2021,2026-03-15
